PropertyName,PropertyAddress,City,State,Zip,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,TargetTenantType,S8_1_ProgramName,LIHTC_1_ProgramName
HCHC RECAP I,1924 Argyle Ave,Los Angeles,CA,90068-3967,Los Angeles,6037,6037189500,28,34.106054,-118.324853,Family,,4% Tax Credit
MARMION WAY APARTMENTS,3500 Marmion Way,Los Angeles,CA,90065,Los Angeles,6037,6037199000,34,34.086982,-118.213805,,,9% Tax Credit
MIRAGE TOWN HOMES,5221 S WERN AVE,Los Angeles,CA,90062,Los Angeles,6037,6037232500,37,33.994567,-118.309135,Family,,9% Tax Credit
SILVER STAR APARTMENTS (FKA WEST VILLAS),6558 West Blvd,Los Angeles,CA,90043-4300,Los Angeles,6037,6037234902,37,33.979642,-118.335086,Family,,9% Tax Credit
THE PASEO AT CALIFORNIAN,1901 W 6th St,Los Angeles,CA,90057-3538,Los Angeles,6037,6037208903,34,34.058696,-118.272618,Elderly or disabled,,4% Tax Credit
PAUL WILLIAMS APARTMENTS,1010 W Jefferson Blvd Ste 1,Los Angeles,CA,90089-0251,Los Angeles,6037,6037222700,37,34.025038,-118.287367,Family,,4% and 9% Tax Credit
PATH METRO VILLAS,345 N Westmoreland Ave,Los Angeles,CA,90004-3570,Los Angeles,6037,6037192700,34,34.0761,-118.3031,Elderly or disabled,,4% Tax Credit
SANTA CECILIA APARTMENTS,117 S Boyle Ave,Los Angeles,CA,90033-3457,Los Angeles,6037,6037206032,34,34.046726,-118.220221,Family,,9% Tax Credit
MAGNOLIA ON LAKE,2220 E 2nd St,Los Angeles,CA,90033-3924,Los Angeles,6037,6037204420,34,34.043271,-118.212904,Family,,9% Tax Credit
STAR APARTMENTS,240 E 6th St,Los Angeles,CA,90014-2177,Los Angeles,6037,6037206300,34,34.043471,-118.247781,,,9% Tax Credit
KNOB HILL APARTMENTS,2403 W 4th St,Los Angeles,CA,90057-2247,Los Angeles,6037,6037208802,34,34.06418,-118.276474,,,9% Tax Credit
KING 1101,1101 W Martin Luther King Jr Blvd,Los Angeles,CA,90037-4401,Los Angeles,6037,6037231220,37,34.011246,-118.294281,,,9% Tax Credit
ATHENS VISTAS,1300 W 105th St,Los Angeles,CA,90044-1872,Los Angeles,6037,6037600202,43,33.940903,-118.298286,Elderly or disabled,,9% Tax Credit
EL SEGUNDO BOULEVARD APARTMENTS,535 W El Segundo Blvd,Los Angeles,CA,90061-1266,Los Angeles,6037,6037291110,43,33.916687,-118.284607,,,4% Tax Credit
127TH STREET APARTMENTS,550 W 127th St,Los Angeles,CA,90044-3977,Los Angeles,6037,6037291110,43,33.917476,-118.283781,,,4% Tax Credit
JAMES WOOD APARTMENTS,1405 James M Wood Blvd,Los Angeles,CA,90015-1280,Los Angeles,6037,6037209300,34,34.04944,-118.26983,Family,,4% Tax Credit
NEW HAMPSHIRE APARTMENTS,1509 S New Hampshire Ave,Los Angeles,CA,90006-4557,Los Angeles,6037,6037221220,34,34.04497,-118.2927,Family,LMSA,
QUEEN APARTMENTS,2620 Orchard Ave,Los Angeles,CA,90007-2371,Los Angeles,6037,6037221820,37,34.03205,-118.28713,Family,LMSA,
WATTS ATHENS,717 W 81st St,Los Angeles,CA,90044-5969,Los Angeles,6037,6037238310,37,33.96559,-118.28587,,,4% Tax Credit
MOSAIC GARDENS AT WESTLAKE,111 Lucas Ave,Los Angeles,CA,90026-7136,Los Angeles,6037,6037208302,34,34.061693,-118.259928,Family,,9% Tax Credit
CORONEL APARTMENTS,1600 N Serrano Ave,Los Angeles,CA,90027-4806,Los Angeles,6037,6037190520,28,34.100001,-118.306726,Family,,4% and 9% Tax Credit
CRENSHAW VILLAS,2645 Crenshaw Blvd,Los Angeles,CA,90016-3165,Los Angeles,6037,6037220000,37,34.031428,-118.335509,Elderly or disabled,,9% Tax Credit
PRESERVATION II,300 E 51st St,Los Angeles,CA,90011-4553,Los Angeles,6037,6037229300,40,33.99644,-118.27011,Elderly or disabled,,4% Tax Credit
RHF CRENSHAW GARDENS,3411 Crenshaw Blvd,Los Angeles,CA,90016-4874,Los Angeles,6037,6037220000,37,34.025132,-118.335491,Family,,9% Tax Credit
HARMONY GATES,5220 HARMONY AVE,Los Angeles,CA,91601,Los Angeles,6037,6037125320,29,34.165561,-118.366249,Family,,4% Tax Credit
RICHARD N HOGAN MANOR,5506 S Figueroa St,Los Angeles,CA,90037-4071,Los Angeles,6037,6037232700,37,33.99231,-118.28257,Family,,9% Tax Credit
PRESERVATION I,1156 W Adams Blvd,Los Angeles,CA,90007-2374,Los Angeles,6037,6037221820,37,34.03194,-118.28536,,,4% Tax Credit
LAS BRISAS,200 N Bixel St,Los Angeles,CA,90026-6608,Los Angeles,6037,6037208000,34,34.06266,-118.25523,Family,,9% Tax Credit
BOYLE APARTMENTS AND JEWEL TERRACE APARTMENTS,2950 Van Buren Pl,Los Angeles,CA,90007-2867,Los Angeles,6037,6037222100,37,34.027722,-118.296673,,,4% Tax Credit
COLUMBUS TERRACE APARTMENTS,8606 Columbus Ave,Los Angeles,CA,91343-5909,Los Angeles,6037,6037117530,29,34.2266,-118.464864,Elderly,Sec 8 NC,
RAYEN PARK APARTMENTS,15233 Rayen St,Los Angeles,CA,91343-4458,Los Angeles,6037,6037117510,29,34.23197,-118.46439,Elderly,Preservation,
ST NICHOLAS HOUSING DEVELOPMENT,10220 Aqueduct Ave,Los Angeles,CA,91343-1546,Los Angeles,6037,6037109800,29,34.2564,-118.47384,Elderly,LMSA,
PLUMMER VILLAGE,15450 Plummer St,Los Angeles,CA,91343-2141,Los Angeles,6037,6037117201,29,34.24269,-118.46858,Elderly,Sec 8 NC,9% Tax Credit
COLUMBUS SQUARE,8561 Columbus Ave,Los Angeles,CA,91343-6079,Los Angeles,6037,6037117530,29,34.22573,-118.46554,Elderly,LMSA,4% Tax Credit
HOMESTEAD,16020 Gresham St,Los Angeles,CA,91343-4838,Los Angeles,6037,6037117404,29,34.23092,-118.48116,Disabled,PRAC/811,
VILLAGE ACQUISITION II,9258 Hayvenhurst Ave,Los Angeles,CA,91343-3607,Los Angeles,6037,6037117301,29,34.23842,-118.49368,Disabled,PRAC/811,
VILLAGE CHOICE,16124 Tupper St,Los Angeles,CA,91343-3048,Los Angeles,6037,6037117202,29,34.23919,-118.4831,Disabled,PRAC/811,
CASA SEVILLE/MEMORY PARK,8750 Memory Park Ave,Los Angeles,CA,91343-5319,Los Angeles,6037,6037117520,29,34.22904,-118.46429,Family,,9% Tax Credit
DECRO NORDHOFF APARTMENTS,15543 Nordhoff St,Los Angeles,CA,91343-3247,Los Angeles,6037,6037117201,29,34.23563,-118.47071,Family,,9% Tax Credit
OROZCO VILLAS,8920 Orion Ave,Los Angeles,CA,91343-4261,Los Angeles,6037,6037117405,29,34.2323,-118.47189,Family,,9% Tax Credit
